                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4886,                 4.2678,                 1.5389,                0.49064,                0.11992,                0.25264,                 0.1417,                 1.2859,                 4.4057,                 1.3607,             0.00036677,             0.00036677,             0.00036677
                      2,                 1.3676,                 3.4089,                 1.4251,                0.40166,                0.16284,                0.21568,                0.11085,                 1.4887,                  3.786,                 1.4763,             0.00072981,             0.00072981,             0.00072981
                      3,                 1.3568,                 3.0952,                 1.4074,                0.22373,                  0.301,                0.27033,                0.14908,                  1.481,                 2.8916,                 1.4059,              0.0010855,              0.0010855,              0.0010855
                      4,                 1.3402,                  2.806,                  1.397,                0.46066,                0.33893,                0.32925,                0.19471,                 1.3727,                 2.4195,                 1.3603,               0.001078,               0.001078,               0.001078
                      5,                 1.3046,                 2.4034,                 1.3843,                0.47926,                0.48174,                0.37507,                0.20882,                 1.4362,                 2.2638,                 1.4425,               0.001078,               0.001078,               0.001078
                      6,                 1.2997,                 2.2917,                 1.3526,                0.34681,                0.57663,                0.40486,                0.22992,                 1.3597,                 2.0196,                 1.3545,               0.001067,               0.001067,               0.001067
                      7,                  1.268,                 2.0175,                 1.3348,                0.29903,                0.65297,                0.36282,                0.21136,                 1.3759,                 2.2468,                  1.353,               0.001056,               0.001056,               0.001056
                      8,                 1.2611,                 1.9099,                 1.3411,                0.39535,                0.50155,                0.49371,                0.29318,                 1.3834,                 1.5854,                 1.3998,               0.001045,               0.001045,               0.001045
                      9,                 1.2377,                 1.7258,                 1.2962,                0.62741,                  0.514,                0.50435,                0.32839,                 1.2033,                 1.5737,                 1.2054,               0.001034,               0.001034,               0.001034
                     10,                 1.2166,                 1.6697,                 1.3072,                0.31783,                0.51727,                0.42971,                0.25122,                 1.2864,                 1.6454,                 1.2638,               0.001023,               0.001023,               0.001023
                     11,                 1.1695,                  1.474,                 1.2792,                0.58462,                0.45463,                0.47677,                0.26872,                 1.5206,                 1.7551,                 1.4767,               0.001012,               0.001012,               0.001012
                     12,                 1.1856,                 1.4443,                 1.3009,                0.65858,                0.60004,                0.69396,                0.40299,                 1.1793,                 1.3229,                 1.1957,               0.001001,               0.001001,               0.001001
                     13,                 1.1958,                 1.4071,                 1.2821,                0.52745,                0.62224,                 0.6533,                0.34253,                 1.3308,                 1.5402,                 1.2914,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.1486,                 1.2784,                 1.2771,                0.80676,                0.66412,                0.75421,                0.51643,                    1.3,                 1.2715,                 1.3012,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.1438,                 1.2711,                 1.2569,                0.66115,                0.62025,                0.69421,                0.38669,                 1.3251,                 1.2134,                  1.314,             0.00096801,             0.00096801,             0.00096801
                     16,                   1.12,                 1.2382,                 1.2292,                0.70661,                0.78137,                0.74365,                0.37361,                 1.2317,                 1.2032,                 1.2184,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.1119,                 1.1981,                  1.225,                0.65156,                0.63985,                0.65594,                0.37574,                 1.3532,                 1.2989,                 1.3637,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.1052,                 1.1516,                 1.2434,                0.74373,                0.82023,                0.81682,                0.49687,                 1.1687,                  1.174,                 1.2052,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.0982,                 1.0879,                 1.2148,                0.66349,                 0.7112,                 0.6449,                0.38739,                 1.2556,                 1.2609,                 1.2602,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.0964,                  1.071,                 1.2257,                 0.6464,                0.82289,                0.73129,                0.47807,                 1.1583,                  1.163,                 1.1972,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.0684,                 1.0243,                 1.2143,                0.72344,                0.76001,                0.79733,                0.55521,                 1.1554,                  1.227,                 1.2249,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.0365,                0.94994,                 1.2294,                0.80142,                0.77244,                0.81438,                0.51311,                 1.2197,                 1.0661,                 1.2596,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.0635,                0.98566,                 1.1982,                0.70305,                0.73796,                0.78619,                0.49692,                 1.1269,                 1.1852,                 1.2063,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.0695,                 0.9678,                 1.2087,                0.61046,                0.62825,                0.68945,                0.45012,                 1.1667,                 1.0551,                 1.2134,             0.00086902,             0.00086902,             0.00086902
                     25,                  1.042,                0.93794,                 1.1907,                0.64378,                0.82062,                0.78902,                 0.5423,                 1.0202,                 1.0684,                  1.152,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.0417,                0.91736,                 1.1973,                 0.5021,                0.74671,                0.59354,                0.39333,                 1.1613,                 1.1539,                 1.2099,             0.00084703,             0.00084703,             0.00084703
                     27,                 1.0216,                0.90008,                 1.2006,                0.83812,                0.76991,                0.84562,                0.53109,                 1.1904,                 1.1241,                 1.2321,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.0295,                 0.8699,                 1.2023,                0.68048,                0.76942,                0.74469,                0.49477,                 1.0777,                 1.1233,                 1.1399,             0.00082503,             0.00082503,             0.00082503
                     29,                0.99578,                0.86691,                 1.1922,                0.81708,                0.84726,                0.86353,                0.61586,                 1.0668,                0.90913,                 1.1937,             0.00081403,             0.00081403,             0.00081403
