                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4647,                 3.2018,                 1.5233,                0.38357,                0.53906,                0.43131,                0.20852,                 1.4446,                 4.2102,                 1.4967,             0.00066019,             0.00066019,             0.00066019
                      2,                 1.4291,                 2.3712,                 1.4807,                0.56789,                0.44531,                0.46322,                0.22397,                  1.717,                 3.1585,                 1.7561,              0.0013137,              0.0013137,              0.0013137
                      3,                 1.4044,                 2.0397,                 1.4733,                0.67146,                0.60938,                0.68203,                0.35494,                 1.4595,                 2.6221,                 1.4647,              0.0019541,              0.0019541,              0.0019541
                      4,                  1.435,                 1.8512,                  1.511,                0.62784,                0.59375,                0.60193,                 0.3327,                 1.4459,                 1.9149,                 1.5359,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.3334,                 1.5877,                 1.4316,                0.64146,                0.71875,                0.69809,                0.36698,                 1.3725,                 1.5158,                 1.4212,              0.0019406,              0.0019406,              0.0019406
                      6,                  1.333,                 1.4717,                 1.4447,                0.66424,                0.66406,                0.65593,                0.35412,                 1.3772,                 1.6243,                 1.4469,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.2954,                 1.4212,                 1.3877,                0.77873,                0.75781,                0.79715,                0.42808,                 1.3031,                 1.6195,                 1.3914,               0.001901,               0.001901,               0.001901
                      8,                 1.2965,                 1.3382,                 1.4164,                0.73333,                0.66406,                0.71673,                0.39879,                 1.3735,                 1.3784,                 1.4358,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.3101,                 1.3471,                 1.4028,                 0.6268,                0.81354,                0.75706,                0.38448,                 1.5129,                 1.3574,                 1.5397,              0.0018614,              0.0018614,              0.0018614
                     10,                  1.251,                 1.2477,                 1.3866,                0.67621,                0.79688,                0.80536,                0.43531,                 1.4104,                  1.183,                 1.4421,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.2663,                 1.2113,                 1.3781,                0.74632,                 0.6875,                0.76275,                0.39509,                 1.4542,                 1.3171,                 1.5181,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.2315,                 1.1946,                 1.3741,                0.73678,                0.77344,                0.81284,                 0.5306,                 1.1317,                 1.1233,                 1.2017,               0.001802,               0.001802,               0.001802
                     13,                 1.2372,                  1.175,                 1.3774,                0.70344,                0.78906,                0.80898,                0.47317,                 1.3446,                 1.1769,                 1.4075,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.2067,                 1.1004,                 1.3234,                0.70673,                0.79073,                0.83571,                0.51297,                 1.3019,                 1.0639,                 1.3725,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.2197,                 1.1164,                 1.3482,                0.78918,                0.76562,                0.84022,                 0.5539,                 1.1729,                0.98718,                 1.2673,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.2206,                 1.1454,                 1.3482,                 0.7367,                0.87438,                0.84212,                0.51348,                 1.2489,                  1.088,                  1.313,              0.0017228,              0.0017228,              0.0017228
                     17,                 1.2056,                 1.1115,                 1.3483,                0.69796,                0.86655,                0.82795,                0.44797,                 1.4056,                 1.0323,                 1.4204,               0.001703,               0.001703,               0.001703
                     18,                 1.1977,                 1.0712,                 1.3419,                0.78502,                0.77027,                0.83021,                0.50166,                 1.2861,                 1.0786,                 1.3278,              0.0016832,              0.0016832,              0.0016832
                     19,                  1.185,                 1.0104,                 1.3067,                0.80467,                0.80459,                0.85044,                0.50531,                 1.2999,                0.97468,                 1.3483,              0.0016634,              0.0016634,              0.0016634
                     20,                 1.1574,                0.99318,                 1.2981,                0.75369,                0.85156,                0.87748,                0.53299,                 1.2675,                0.98109,                 1.3471,              0.0016436,              0.0016436,              0.0016436
                     21,                 1.1641,                0.98357,                 1.3042,                0.77257,                0.84925,                0.86115,                 0.4825,                 1.3377,                0.98541,                 1.3958,              0.0016238,              0.0016238,              0.0016238
                     22,                 1.1012,                0.93459,                 1.2781,                0.75994,                0.81615,                0.84853,                0.54379,                 1.2599,                0.94329,                 1.3359,               0.001604,               0.001604,               0.001604
                     23,                 1.1648,                 0.9296,                 1.3146,                0.73812,                0.78906,                0.84399,                0.46763,                 1.4262,                0.98214,                 1.4555,              0.0015842,              0.0015842,              0.0015842
                     24,                 1.1377,                0.92054,                 1.2975,                0.82336,                0.76473,                0.88502,                0.55513,                  1.221,                 0.9088,                 1.3223,              0.0015644,              0.0015644,              0.0015644
                     25,                 1.1168,                  0.916,                 1.2816,                0.75271,                0.80851,                0.83792,                0.50051,                 1.3397,                0.92204,                 1.3668,              0.0015446,              0.0015446,              0.0015446
                     26,                 1.1308,                0.91312,                 1.2756,                0.75114,                0.87251,                0.85428,                0.55837,                 1.1438,                0.85441,                 1.2283,              0.0015248,              0.0015248,              0.0015248
                     27,                 1.1034,                0.87751,                 1.2645,                0.73624,                0.89844,                0.89137,                0.52964,                 1.2529,                0.89359,                 1.3516,               0.001505,               0.001505,               0.001505
                     28,                 1.0809,                 0.8737,                  1.277,                0.88599,                   0.75,                0.88738,                0.57816,                 1.1507,                0.82457,                 1.2415,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.1016,                0.87132,                 1.2775,                0.78368,                 0.8491,                0.86893,                0.50972,                 1.2523,                0.84534,                 1.3425,              0.0014654,              0.0014654,              0.0014654
